JI1_140112	JI1_140112,JI8_24235
MN-EFF_199692	MN-EFF_199692
IL20_64748	IL20_64748,IL17_32694,IL5_22700,IL22_2378,WC4_32343,NI2_17183,IL3_31603,WC6_12250,WC5_3221
JI8_14310	JI8_14310,JI5_162133,JI3_455583,JI11_80369,JI2_260095
TG-DS_297150	TG-DS_297150,TG-AS_220035
WT-INF_39455	WT-INF_39455,WT-EFF_203058,WT-AS_111728
ZR-DS_273227	ZR-DS_273227,ZR-AS_84326,ZR-EFF_128056
SA2_70590	SA2_70590,SA3_60141
AD-AS_125745	AD-AS_125745,AD-DS_78027,TU-EFF_289439,AD-INF_181764,AH-DS_219824
TG-AS_153781	TG-AS_153781,TG-DS_293797,ZR-DS_376871
HP82_9361	HP82_9361,HP74_17223,HP75_103154,HP91_1028,HP92_5327,HP18_4150,HP17_5145,HP19_2702,HP20_1915,HP81_129889,HP76_45497,HP59_4781,HP80_11148
TE-EFF_151032	TE-EFF_151032,ZR-EFF_49424
EM-EFF_123715	EM-EFF_123715
